,id_cliente,Churn,cliente.genero,cliente.idoso,cliente.parceiro,cliente.dependentes,cliente.tempo_servico,telefone.servico_telefone,telefone.varias_linhas,internet.servico_internet,internet.seguranca_online,internet.backup_online,internet.protecao_dispositivo,internet.suporte_tecnico,internet.tv_streaming,internet.filmes_streaming,conta.contrato,conta.faturamente_eletronico,conta.metodo_pagamento,conta.cobranca.mensal,conta.cobranca.Total
11,0018-NYROU,nao,feminino,0,sim,nao,5.0,sim,nao,fibra otica,nao,nao,nao,nao,nao,nao,mes a mes,sim,cheque eletronico,68.95,351.5
12,0019-EFAEP,nao,feminino,0,nao,nao,72.0,sim,sim,fibra otica,sim,sim,sim,nao,sim,nao,dois anos,sim,transferencia bancaria (automatica),101.3,7261.25
13,0019-GFNTW,nao,feminino,0,nao,nao,56.0,nao,sem servico de telefone,DSL,sim,sim,sim,sim,nao,nao,dois anos,nao,transferencia bancaria (automatica),45.05,2560.1
14,0020-INWCK,nao,feminino,0,sim,sim,71.0,sim,sim,fibra otica,nao,sim,sim,nao,nao,sim,dois anos,sim,cartao de credito (automatico),95.75,6849.4
15,0020-JDNXP,nao,feminino,0,sim,sim,34.0,nao,sem servico de telefone,DSL,sim,nao,sim,sim,sim,sim,um ano,nao,cheque pelo correio,61.25,1993.2
16,0021-IKXGC,nao,feminino,1,nao,nao,1.0,sim,sim,fibra otica,nao,nao,nao,nao,nao,nao,mes a mes,sim,cheque eletronico,72.1,72.1
17,0022-TCJCI,sim,masculino,1,nao,nao,45.0,sim,nao,DSL,sim,nao,sim,nao,nao,sim,um ano,nao,cartao de credito (automatico),62.7,2791.5
18,0023-HGHWL,sim,masculino,1,nao,nao,1.0,nao,sem servico de telefone,DSL,nao,nao,nao,nao,nao,nao,mes a mes,sim,cheque eletronico,25.1,25.1
19,0023-UYUPN,nao,feminino,1,sim,nao,50.0,sim,sim,nao,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,um ano,nao,cheque eletronico,25.2,1306.3
20,0023-XUOPT,sim,feminino,0,sim,nao,13.0,sim,sim,fibra otica,nao,sim,sim,nao,sim,nao,mes a mes,nao,cheque eletronico,94.1,1215.6
21,0027-KWYKW,nao,feminino,0,sim,sim,23.0,sim,sim,fibra otica,nao,nao,nao,nao,sim,nao,mes a mes,sim,cheque eletronico,83.75,1849.95
22,0030-FNXPP,nao,feminino,0,nao,nao,3.0,sim,nao,nao,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,mes a mes,nao,cheque pelo correio,19.85,57.2
23,0031-PVLZI,sim,feminino,0,sim,sim,4.0,sim,nao,nao,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,mes a mes,nao,cheque pelo correio,20.35,76.35
24,0032-PGELS,sim,feminino,0,sim,sim,1.0,nao,sem servico de telefone,DSL,sim,nao,nao,nao,nao,nao,mes a mes,nao,transferencia bancaria (automatica),30.5,30.5
25,0036-IHMOT,nao,feminino,0,sim,sim,55.0,sim,nao,fibra otica,nao,sim,sim,sim,sim,sim,um ano,sim,transferencia bancaria (automatica),103.7,5656.75
26,0040-HALCW,nao,masculino,0,sim,sim,54.0,sim,nao,nao,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,dois anos,nao,cartao de credito (automatico),20.4,1090.6
27,0042-JVWOJ,nao,masculino,0,nao,nao,26.0,sim,nao,nao,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,um ano,sim,transferencia bancaria (automatica),19.6,471.85
28,0042-RLHYP,nao,feminino,0,sim,sim,69.0,sim,nao,nao,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,dois anos,nao,transferencia bancaria (automatica),19.7,1396.9
29,0048-LumLS,nao,masculino,0,sim,sim,37.0,sim,nao,fibra otica,nao,nao,nao,nao,sim,sim,um ano,nao,cartao de credito (automatico),91.2,3247.55
30,0048-PIHNL,nao,feminino,0,sim,nao,49.0,sim,nao,nao,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,um ano,nao,transferencia bancaria (automatica),20.45,900.9
31,0052-DCKON,nao,masculino,0,sim,nao,66.0,sim,sim,fibra otica,sim,sim,sim,sim,sim,sim,um ano,nao,transferencia bancaria (automatica),115.8,7942.15
32,0052-YNYOT,nao,feminino,0,nao,nao,67.0,sim,nao,nao,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,um ano,nao,cheque eletronico,20.55,1343.4
33,0056-EPFBG,nao,masculino,0,sim,sim,20.0,nao,sem servico de telefone,DSL,sim,nao,sim,sim,nao,nao,dois anos,sim,cartao de credito (automatico),39.4,825.4
34,0057-QBUQH,nao,feminino,0,nao,sim,43.0,sim,sim,nao,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,dois anos,sim,cheque eletronico,25.1,1070.15
35,0058-EVZWM,nao,feminino,0,sim,nao,55.0,sim,sim,fibra otica,sim,nao,nao,nao,sim,nao,mes a mes,sim,transferencia bancaria (automatica),89.8,4959.6
36,0060-FUALY,nao,feminino,0,sim,nao,59.0,sim,sim,fibra otica,sim,sim,nao,nao,sim,nao,mes a mes,sim,cheque eletronico,94.75,5597.65
37,0064-SUDOG,nao,feminino,0,sim,sim,12.0,sim,nao,nao,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,dois anos,nao,transferencia bancaria (automatica),20.3,224.5
38,0064-YIJGF,nao,masculino,0,sim,sim,27.0,sim,sim,fibra otica,nao,nao,nao,nao,nao,nao,mes a mes,sim,transferencia bancaria (automatica),75.75,1929.0
39,0067-DKWBL,sim,masculino,1,nao,nao,2.0,sim,nao,DSL,sim,nao,nao,nao,nao,nao,mes a mes,sim,cheque eletronico,49.25,91.1
40,0068-FIGTF,nao,feminino,0,nao,nao,27.0,sim,nao,DSL,nao,sim,sim,sim,sim,sim,um ano,nao,cheque pelo correio,78.2,2078.95
41,0071-NDAFP,nao,masculino,0,sim,sim,25.0,sim,sim,nao,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,dois anos,nao,cartao de credito (automatico),25.5,630.6
42,0074-HDKDG,nao,masculino,0,sim,sim,25.0,sim,nao,DSL,sim,sim,sim,nao,nao,nao,um ano,sim,transferencia bancaria (automatica),61.6,1611.0
43,0076-LVEPS,nao,masculino,0,nao,sim,29.0,nao,sem servico de telefone,DSL,sim,sim,sim,sim,nao,nao,mes a mes,sim,cheque pelo correio,45.0,1242.45
44,0078-XZMHT,nao,masculino,0,sim,nao,72.0,sim,sim,DSL,nao,sim,sim,sim,sim,sim,dois anos,sim,transferencia bancaria (automatica),85.15,6316.2
45,0080-EMYVY,nao,feminino,0,nao,nao,14.0,sim,nao,DSL,nao,sim,nao,nao,nao,nao,um ano,nao,cartao de credito (automatico),51.45,727.85
46,0080-OROZO,nao,feminino,0,nao,nao,35.0,sim,nao,fibra otica,nao,nao,sim,sim,sim,sim,um ano,sim,cheque eletronico,99.25,3532.0
47,0082-LDZUE,nao,masculino,0,nao,nao,1.0,sim,nao,DSL,nao,nao,nao,nao,nao,nao,mes a mes,sim,cheque pelo correio,44.3,44.3
48,0082-OQIQY,nao,masculino,0,nao,nao,29.0,sim,nao,fibra otica,nao,nao,nao,sim,sim,sim,mes a mes,sim,cheque eletronico,94.2,2607.6
49,0083-PIVIK,nao,masculino,0,nao,nao,64.0,sim,sim,DSL,sim,sim,sim,sim,sim,nao,um ano,nao,cheque eletronico,81.25,5567.55
50,0089-IIQKO,nao,feminino,0,sim,sim,39.0,sim,sim,fibra otica,nao,nao,nao,sim,sim,sim,mes a mes,sim,cartao de credito (automatico),99.95,3767.4
51,0093-EXYQL,nao,feminino,1,nao,nao,40.0,sim,nao,fibra otica,nao,nao,nao,nao,sim,sim,mes a mes,sim,cheque eletronico,91.55,3673.6
52,0093-XWZFY,sim,masculino,0,nao,nao,40.0,sim,sim,fibra otica,nao,sim,sim,nao,sim,sim,mes a mes,sim,cartao de credito (automatico),104.5,4036.85
53,0094-OIFMO,sim,feminino,1,nao,nao,11.0,sim,nao,fibra otica,nao,sim,nao,nao,sim,sim,mes a mes,sim,cheque eletronico,95.0,1120.3
54,0096-BXERS,nao,feminino,0,sim,nao,6.0,sim,sim,DSL,nao,nao,nao,nao,nao,nao,mes a mes,nao,cheque eletronico,50.35,314.55
55,0096-FCPUF,nao,masculino,0,nao,nao,30.0,sim,sim,DSL,sim,nao,nao,nao,nao,sim,mes a mes,sim,cheque pelo correio,64.5,1888.45
56,0098-BOWSO,nao,masculino,0,nao,nao,27.0,sim,nao,nao,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,mes a mes,sim,cheque eletronico,19.4,529.8
57,0100-DUVFC,nao,masculino,1,sim,nao,70.0,sim,sim,fibra otica,nao,sim,sim,nao,sim,sim,um ano,sim,cheque eletronico,104.8,7308.95
58,0103-CSITQ,nao,feminino,0,sim,nao,57.0,sim,sim,fibra otica,nao,sim,sim,sim,sim,sim,um ano,sim,transferencia bancaria (automatica),109.4,6252.7
59,0104-PPXDV,nao,masculino,0,sim,nao,58.0,sim,nao,DSL,nao,nao,sim,nao,nao,nao,um ano,nao,cartao de credito (automatico),50.3,2878.55
60,0106-GHRQR,nao,masculino,0,nao,nao,16.0,sim,sim,DSL,nao,sim,sim,nao,nao,sim,mes a mes,sim,transferencia bancaria (automatica),71.4,1212.1
61,0106-UGRDO,nao,feminino,0,sim,nao,69.0,sim,sim,fibra otica,sim,sim,sim,sim,sim,sim,dois anos,sim,cheque eletronico,116.0,8182.85
62,0107-WESLM,sim,masculino,0,nao,nao,1.0,sim,nao,nao,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,mes a mes,sim,cheque eletronico,19.85,19.85
63,0107-YHINA,sim,masculino,0,nao,sim,1.0,sim,sim,fibra otica,nao,nao,sim,nao,sim,sim,mes a mes,sim,cheque eletronico,99.75,99.75
64,0111-KLBQG,nao,masculino,1,sim,sim,32.0,sim,nao,fibra otica,nao,sim,nao,nao,sim,sim,mes a mes,sim,cheque pelo correio,93.95,2861.45
65,0112-QAWRZ,nao,masculino,0,sim,sim,16.0,sim,sim,fibra otica,nao,nao,sim,nao,sim,nao,mes a mes,sim,transferencia bancaria (automatica),90.8,1442.2
66,0112-QWPNC,sim,masculino,0,sim,nao,49.0,sim,sim,DSL,sim,nao,sim,sim,sim,sim,um ano,nao,cheque eletronico,84.35,4059.35
67,0114-IGABW,nao,feminino,0,sim,nao,71.0,nao,sem servico de telefone,DSL,nao,sim,sim,sim,sim,sim,dois anos,nao,transferencia bancaria (automatica),58.25,4145.9
68,0114-PEGZZ,nao,feminino,0,nao,nao,33.0,sim,sim,fibra otica,nao,sim,sim,nao,sim,sim,mes a mes,nao,cheque eletronico,107.55,3645.5
69,0114-RSRRW,nao,feminino,0,sim,nao,10.0,sim,nao,nao,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,mes a mes,sim,transferencia bancaria (automatica),19.95,187.75
70,0115-TFERT,sim,masculino,0,sim,nao,21.0,sim,sim,fibra otica,nao,sim,sim,sim,sim,sim,mes a mes,sim,cheque eletronico,111.2,2317.1
71,0117-LFRMW,sim,masculino,0,sim,sim,37.0,nao,sem servico de telefone,DSL,sim,sim,sim,nao,nao,nao,mes a mes,nao,transferencia bancaria (automatica),40.2,1448.8
72,0118-JPnaoY,nao,feminino,1,nao,nao,26.0,sim,nao,fibra otica,sim,nao,nao,nao,sim,nao,mes a mes,sim,cartao de credito (automatico),85.8,2193.65
73,0121-SNYRK,nao,masculino,0,nao,nao,50.0,nao,sem servico de telefone,DSL,sim,nao,nao,sim,nao,nao,um ano,sim,cheque pelo correio,35.4,1748.9
74,0122-OAHPZ,sim,feminino,0,nao,nao,7.0,sim,sim,fibra otica,nao,nao,nao,nao,nao,nao,mes a mes,sim,cheque eletronico,73.85,511.25
75,0123-CRBRT,nao,feminino,0,sim,sim,61.0,sim,sim,DSL,sim,sim,sim,sim,sim,sim,dois anos,nao,cheque pelo correio,88.1,5526.75
76,0125-LZQXK,sim,masculino,0,nao,nao,15.0,sim,nao,fibra otica,nao,nao,sim,sim,sim,sim,mes a mes,sim,cheque eletronico,101.35,1553.95
77,0128-MKWSG,nao,feminino,0,nao,sim,26.0,nao,sem servico de telefone,DSL,sim,nao,nao,sim,nao,sim,mes a mes,nao,cheque pelo correio,45.8,1147.0
78,0129-KPTWJ,nao,masculino,0,sim,nao,72.0,sim,nao,fibra otica,nao,nao,sim,nao,sim,sim,mes a mes,sim,cheque eletronico,94.65,6747.35
79,0129-QMPDR,nao,masculino,0,sim,sim,44.0,sim,nao,nao,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,um ano,sim,transferencia bancaria (automatica),20.5,865.05
80,0130-SXOUN,nao,masculino,0,nao,nao,66.0,sim,sim,fibra otica,nao,sim,nao,nao,nao,sim,mes a mes,nao,cartao de credito (automatico),89.4,5976.9
81,0133-BMFZO,sim,feminino,0,nao,nao,2.0,sim,nao,fibra otica,sim,sim,nao,sim,nao,nao,mes a mes,sim,cheque eletronico,86.25,181.65
82,0134-XWXCE,nao,feminino,1,nao,nao,44.0,sim,nao,DSL,nao,nao,sim,sim,sim,sim,um ano,nao,transferencia bancaria (automatica),74.85,3268.05
83,0135-NMXAP,sim,feminino,0,nao,nao,12.0,sim,sim,fibra otica,nao,sim,nao,nao,sim,nao,mes a mes,sim,transferencia bancaria (automatica),89.75,1052.4
84,0136-IFMYD,nao,masculino,1,sim,nao,69.0,sim,sim,fibra otica,nao,sim,sim,sim,sim,sim,dois anos,sim,cheque eletronico,109.95,7634.25
85,0137-OCGAB,sim,feminino,0,nao,nao,1.0,sim,sim,fibra otica,nao,sim,nao,nao,nao,nao,mes a mes,sim,cheque pelo correio,80.2,80.2
86,0137-UDEUO,sim,feminino,0,nao,nao,3.0,sim,nao,nao,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,mes a mes,nao,cheque pelo correio,19.85,63.75
87,0139-IVFJG,nao,feminino,0,sim,nao,2.0,sim,nao,fibra otica,sim,sim,nao,nao,sim,nao,mes a mes,nao,cheque eletronico,90.35,190.5
88,0141-YEAYS,nao,feminino,1,nao,nao,27.0,sim,sim,fibra otica,nao,sim,sim,nao,nao,nao,mes a mes,sim,transferencia bancaria (automatica),86.45,2401.05
89,0142-GVYSN,nao,masculino,0,nao,nao,26.0,sim,nao,nao,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,mes a mes,sim,cheque eletronico,20.3,511.25
90,0147-ESWWR,nao,feminino,1,sim,nao,39.0,sim,sim,fibra otica,nao,nao,nao,sim,sim,sim,mes a mes,sim,cheque eletronico,101.25,3949.15
91,0148-DCDOS,sim,masculino,0,nao,nao,25.0,sim,sim,fibra otica,nao,nao,nao,nao,sim,sim,mes a mes,sim,transferencia bancaria (automatica),94.7,2362.1
92,0151-ONTOV,sim,feminino,0,nao,nao,1.0,sim,nao,fibra otica,nao,nao,nao,nao,nao,nao,mes a mes,nao,cheque pelo correio,70.9,70.9
93,0156-FVPTA,sim,masculino,0,sim,nao,22.0,sim,nao,DSL,sim,nao,nao,sim,nao,nao,mes a mes,sim,cheque eletronico,54.2,1152.7
94,0164-APGRB,nao,feminino,0,nao,nao,72.0,sim,sim,fibra otica,sim,sim,sim,sim,sim,sim,dois anos,sim,cheque eletronico,114.9,8496.7
95,0164-XAIRP,nao,feminino,0,nao,nao,24.0,sim,nao,nao,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,dois anos,sim,transferencia bancaria (automatica),19.55,470.2
96,0168-XZKBB,nao,feminino,0,sim,nao,19.0,sim,sim,fibra otica,nao,nao,nao,nao,sim,nao,mes a mes,sim,cheque eletronico,86.85,1564.4
97,0174-QRVVY,nao,masculino,0,sim,sim,71.0,sim,sim,nao,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,dois anos,nao,cartao de credito (automatico),25.35,1847.55
98,0177-PXBAT,nao,masculino,1,sim,nao,33.0,sim,sim,fibra otica,sim,nao,sim,sim,sim,sim,mes a mes,sim,transferencia bancaria (automatica),109.9,3694.7
99,0178-CIIKR,nao,feminino,0,nao,nao,3.0,sim,nao,nao,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,mes a mes,nao,cheque pelo correio,19.95,58.0
100,0178-SZBHO,nao,masculino,0,sim,sim,47.0,sim,sim,fibra otica,nao,sim,nao,nao,sim,nao,mes a mes,nao,cheque eletronico,87.2,4017.45
101,0181-RITDD,nao,masculino,0,sim,sim,62.0,sim,nao,fibra otica,sim,sim,sim,sim,sim,sim,dois anos,nao,cheque pelo correio,108.15,6825.65
102,0186-CAERR,nao,masculino,0,nao,nao,71.0,sim,sim,fibra otica,sim,sim,sim,sim,sim,sim,um ano,sim,transferencia bancaria (automatica),116.3,8309.55
103,0187-QSXOE,nao,masculino,1,sim,nao,7.0,sim,nao,fibra otica,nao,nao,nao,nao,sim,sim,mes a mes,sim,cheque eletronico,89.0,605.45
104,0187-WZNAB,nao,feminino,0,sim,sim,27.0,sim,nao,fibra otica,sim,nao,nao,nao,nao,nao,mes a mes,nao,cheque pelo correio,74.4,1972.35
105,0188-GWFLE,nao,masculino,0,nao,nao,2.0,sim,nao,nao,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,mes a mes,nao,cheque pelo correio,20.05,33.7
106,0191-EQUUH,nao,feminino,0,nao,sim,25.0,nao,sem servico de telefone,DSL,sim,nao,nao,sim,nao,nao,dois anos,nao,transferencia bancaria (automatica),35.05,844.45
107,0191-ZHSKZ,nao,masculino,1,nao,nao,30.0,sim,nao,DSL,sim,sim,nao,nao,sim,sim,mes a mes,sim,cheque eletronico,74.75,2111.3
108,0193-ESZXP,sim,feminino,1,sim,nao,58.0,sim,nao,fibra otica,sim,sim,nao,sim,sim,sim,um ano,sim,cartao de credito (automatico),105.5,6205.5
109,0195-IESCP,sim,masculino,0,sim,nao,10.0,sim,sim,fibra otica,nao,nao,nao,nao,nao,sim,mes a mes,sim,cheque eletronico,85.25,855.3
110,0196-JTUQI,nao,feminino,0,nao,nao,9.0,sim,sim,fibra otica,nao,nao,nao,nao,nao,nao,mes a mes,sim,cartao de credito (automatico),75.2,633.85
111,0196-VULGZ,sim,feminino,1,sim,nao,6.0,sim,sim,fibra otica,nao,nao,nao,nao,nao,sim,mes a mes,sim,cheque eletronico,84.35,474.9
112,0197-PNKNK,nao,feminino,0,sim,sim,69.0,sim,sim,fibra otica,sim,nao,sim,nao,nao,nao,um ano,nao,transferencia bancaria (automatica),84.45,5848.6
113,0201-MIBOL,nao,feminino,1,nao,nao,66.0,sim,sim,fibra otica,sim,nao,nao,nao,sim,sim,dois anos,sim,transferencia bancaria (automatica),102.4,6471.85
114,0201-OAMXR,sim,feminino,0,nao,nao,70.0,sim,sim,fibra otica,sim,sim,sim,sim,sim,sim,um ano,nao,cartao de credito (automatico),115.55,8127.6
115,0203-HHYIJ,sim,masculino,0,nao,nao,25.0,sim,sim,nao,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,um ano,nao,transferencia bancaria (automatica),25.3,676.35
116,0206-OYVOC,nao,feminino,0,sim,sim,46.0,sim,nao,nao,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,dois anos,sim,cheque pelo correio,19.25,864.2
117,0206-TBWLC,nao,feminino,0,sim,nao,54.0,sim,sim,fibra otica,sim,sim,sim,sim,sim,sim,um ano,sim,cheque pelo correio,114.65,6049.5
118,0207-MDKNV,sim,feminino,0,nao,nao,15.0,sim,nao,fibra otica,sim,nao,sim,sim,sim,sim,mes a mes,nao,cheque eletronico,105.1,1582.75
119,0208-BPQEJ,nao,feminino,0,sim,sim,12.0,sim,nao,nao,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,mes a mes,nao,transferencia bancaria (automatica),19.4,198.1
120,0212-ISBBF,nao,feminino,0,nao,nao,22.0,nao,sem servico de telefone,DSL,nao,sim,nao,nao,sim,sim,mes a mes,sim,cheque eletronico,50.35,1098.85
121,0214-JHPFW,nao,feminino,0,sim,nao,70.0,nao,sem servico de telefone,DSL,nao,sim,sim,sim,sim,sim,dois anos,nao,transferencia bancaria (automatica),57.8,4039.3
122,0215-BQKGS,nao,masculino,0,nao,nao,30.0,sim,nao,fibra otica,sim,sim,sim,nao,nao,nao,mes a mes,sim,cartao de credito (automatico),84.3,2438.6
123,0218-QNVAS,nao,masculino,0,sim,sim,71.0,sim,sim,fibra otica,nao,sim,nao,nao,sim,sim,um ano,nao,transferencia bancaria (automatica),100.55,7113.75
124,0219-QAERP,nao,masculino,0,sim,nao,30.0,sim,nao,nao,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,um ano,nao,cartao de credito (automatico),19.8,576.65
125,0219-YTZUE,sim,masculino,0,sim,sim,4.0,sim,sim,fibra otica,nao,sim,sim,nao,nao,nao,mes a mes,sim,transferencia bancaria (automatica),84.8,371.9
126,0220-EBGCE,sim,masculino,0,nao,nao,2.0,sim,nao,fibra otica,nao,nao,sim,nao,nao,sim,mes a mes,sim,cheque eletronico,85.85,167.3
127,0221-NAUXK,nao,masculino,0,nao,sim,10.0,sim,nao,nao,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,um ano,sim,transferencia bancaria (automatica),19.95,219.5
128,0221-WMXNQ,nao,masculino,1,nao,nao,4.0,sim,nao,fibra otica,sim,nao,nao,nao,nao,nao,mes a mes,nao,cheque eletronico,75.35,273.4
129,0222-CNVPT,nao,masculino,1,nao,nao,52.0,nao,sem servico de telefone,DSL,sim,nao,nao,nao,sim,sim,mes a mes,sim,cartao de credito (automatico),48.8,2555.05
130,0224-HJAPT,sim,masculino,0,nao,nao,5.0,sim,sim,DSL,nao,nao,nao,nao,nao,nao,mes a mes,nao,cheque eletronico,47.15,223.15
131,0224-NIJLP,nao,masculino,0,sim,sim,8.0,sim,nao,nao,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,dois anos,nao,cheque pelo correio,20.15,165.5
132,0224-RLWWD,nao,feminino,1,nao,nao,2.0,sim,nao,DSL,nao,nao,nao,nao,nao,nao,mes a mes,sim,cheque eletronico,44.3,89.3
133,0225-ZORZP,nao,masculino,0,nao,nao,3.0,sim,nao,fibra otica,nao,sim,nao,nao,nao,sim,mes a mes,nao,cheque eletronico,84.3,235.05
134,0228-MAUWC,nao,masculino,0,nao,nao,19.0,sim,sim,DSL,nao,nao,sim,sim,nao,nao,mes a mes,nao,cheque eletronico,59.55,1144.6
135,0229-LFJAF,nao,masculino,0,nao,nao,72.0,sim,sim,DSL,sim,sim,sim,sim,nao,nao,dois anos,nao,transferencia bancaria (automatica),69.65,4908.25
136,0230-UBYPQ,nao,masculino,1,sim,nao,63.0,nao,sem servico de telefone,DSL,sim,nao,nao,sim,nao,nao,um ano,nao,transferencia bancaria (automatica),36.1,2298.9
137,0230-WEQUW,nao,masculino,0,sim,nao,66.0,nao,sem servico de telefone,DSL,sim,sim,sim,sim,sim,nao,dois anos,sim,transferencia bancaria (automatica),56.6,3789.2
138,0231-LXVAP,sim,masculino,0,nao,nao,1.0,sim,nao,fibra otica,nao,nao,nao,sim,nao,nao,mes a mes,sim,cheque eletronico,75.9,75.9
139,0233-FTHAV,nao,feminino,0,nao,nao,60.0,sim,sim,fibra otica,nao,nao,sim,nao,nao,nao,um ano,sim,transferencia bancaria (automatica),79.2,4765.0
140,0234-TEVTT,nao,feminino,0,sim,sim,48.0,nao,sem servico de telefone,DSL,sim,nao,sim,nao,nao,sim,um ano,nao,cartao de credito (automatico),45.0,2196.3
141,0235-KGSLC,sim,feminino,0,nao,nao,1.0,sim,nao,fibra otica,nao,nao,sim,nao,sim,nao,mes a mes,sim,cartao de credito (automatico),85.55,85.55
142,0236-HFWSV,sim,masculino,0,nao,nao,15.0,sim,sim,fibra otica,nao,nao,nao,nao,sim,sim,mes a mes,sim,cheque eletronico,93.35,1444.65
143,0237-YFUTL,nao,feminino,0,sim,nao,50.0,sim,sim,fibra otica,sim,sim,nao,sim,sim,sim,mes a mes,sim,transferencia bancaria (automatica),109.65,5405.8
144,0238-WHBIQ,nao,masculino,0,sim,sim,72.0,sim,sim,DSL,sim,sim,sim,sim,sim,sim,dois anos,nao,cartao de credito (automatico),89.7,6339.3
145,0239-OXEXL,nao,feminino,0,nao,nao,46.0,sim,sim,fibra otica,sim,sim,nao,nao,nao,nao,mes a mes,nao,cheque pelo correio,84.25,3847.6
146,0244-LGNFY,nao,feminino,0,sim,sim,72.0,sim,sim,DSL,sim,sim,sim,sim,sim,sim,dois anos,nao,transferencia bancaria (automatica),92.65,6733.0
